Student Number,Grade,Total Units,Avoided Time Slot,Selected Course 1,Selected Course 2,Selected Course 3,Success
1,4,8,5,019-SEM (1455),001-SEM (1531),002-SEM (1405),1
2,4,8,1,001-SEM (1531),002-SEM (1506),001-SEM (1406),1
3,4,8,4,020-SEM (1456),002-SEM (1087),001-SEM (1334),1
4,4,10,1,002-SEM (1405),001-LEC (1068),001-SEM (1084),1
5,4,8,4,001-LEC (1370),002-SEM (1393),NA,1
6,4,10,2,001-SEM (1114),001-SEM (1504),001-SEM (1501),1
7,4,8,3,002-SEM (1318),001-SEM (1350),NA,1
8,4,10,3,001-SEM (1541),002-SEM (1073),001-SEM (1081),1
9,4,8,5,001-SEM (1479),005-LEC (1368),001-SEM (1504),1
10,4,10,4,006-SEM (1490),001-SEM (1531),009-SEM (1445),1
11,4,10,3,001-LEC (1337),002-SEM (1129),001-SEM (1051),1
12,4,10,1,002-SEM (1414),001-SEM (1407),001-LEC (1403),1
13,4,10,5,001-LEC (1061),001-LEC (1064),001-LEC (1066),1
14,4,8,3,008-SEM (1202),003-SEM (1377),NA,1
15,4,8,4,001-SEM (1559),005-SEM (1509),001-SEM (1342),1
16,4,8,3,006-SEM (1198),005-SEM (1489),001-SEM (1524),1
17,4,10,3,001-SEM (1051),001-SEM (1121),001-SEM (1480),1
18,4,10,5,001-SEM (1406),002-SEM (1123),004-LEC (1305),1
19,4,10,3,005-SEM (1441),008-SEM (1444),002-LEC (1352),1
20,4,10,1,001-SEM (1118),003-SEM (1487),001-SEM (1524),1
21,4,10,1,001-LEC (1126),002-SEM (1557),001-SEM (1078),1
22,4,8,5,002-SEM (1470),001-SEM (1395),002-SEM (1526),1
23,4,8,1,001-SEM (1128),001-SEM (1934),020-SEM (1190),1
24,4,10,3,001-SEM (1409),005-SEM (1509),001-SEM (1343),1
25,4,10,3,001-SEM (1091),001-SEM (1524),021-SEM (1191),1
26,4,10,4,001-SEM (1080),002-LEC (1352),001-LEC (1337),1
27,4,8,4,002-SEM (1414),001-LEC (1302),023-SEM (1459),1
28,4,10,3,001-SEM (1114),001-SEM (1113),003-SEM (1377),1
29,4,8,5,001-SEM (1083),002-SEM (1318),NA,1
30,4,10,5,001-SEM (1091),002-SEM (1526),001-SEM (1067),1
31,4,10,5,001-SEM (1409),021-SEM (1191),002-SEM (1311),1
32,4,8,5,001-SEM (1342),001-LEC (1568),NA,1
33,4,8,4,006-SEM (1198),001-SEM (1501),001-LEC (1373),1
34,4,8,4,001-SEM (1053),001-SEM (1084),NA,1
35,4,8,5,001-SEM (1113),001-SEM (1359),NA,1
36,4,8,3,016-SEM (1452),001-SEM (1118),001-SEM (1113),1
37,4,10,3,018-SEM (1188),001-SEM (1051),002-SEM (1087),1
38,4,10,4,006-SEM (1490),001-SEM (1078),001-SEM (1050),1
39,4,10,1,001-SEM (1084),002-SEM (1060),002-SEM (1093),1
40,4,10,4,001-SEM (1050),001-SEM (1381),005-SEM (1489),1
41,4,8,1,001-SEM (1326),021-SEM (1457),001-SEM (1106),1
42,4,8,4,002-SEM (1486),003-SEM (1299),001-SEM (1078),1
43,4,10,3,001-SEM (1067),001-SEM (1114),025-SEM (1461),1
44,4,10,2,002-SEM (1474),002-SEM (1365),001-SEM (1395),1
45,4,8,4,001-SEM (1521),001-SEM (1537),003-SEM (1487),1
46,4,8,5,001-SEM (1112),001-LEC (1398),NA,1
47,4,10,5,001-SEM (1075),001-SEM (1326),002-SEM (1405),1
48,4,8,1,002-SEM (1092),002-SEM (1332),NA,1
49,4,10,1,002-SEM (1470),001-SEM (1361),024-SEM (1460),1
50,4,10,1,002-SEM (1095),006-LEC (1396),001-SEM (1390),1
51,4,10,3,001-SEM (1343),002-SEM (1074),002-SEM (1393),1
52,4,8,4,001-SEM (1501),001-LEC (1389),007-SEM (1443),1
53,4,10,2,001-LEC (1029),014-SEM (1450),007-SEM (1443),1
54,4,10,3,001-SEM (1081),001-LEC (1302),001-SEM (1067),1
55,4,10,1,001-SEM (1359),002-SEM (1557),006-SEM (1090),1
56,4,10,5,001-SEM (1128),015-SEM (1451),006-SEM (1510),1
57,4,8,4,018-SEM (1454),007-SEM (1511),001-SEM (1537),1
58,4,10,2,002-SEM (1484),001-SEM (1537),001-SEM (1501),1
59,4,10,5,001-SEM (1075),001-SEM (1055),001-SEM (1934),1
60,4,8,3,007-SEM (1511),001-SEM (1391),001-LEC (1373),1
61,4,8,5,001-LEC (1374),002-SEM (1486),001-SEM (1556),1
62,4,8,1,003-SEM (1439),001-LEC (1398),001-SEM (1079),1
63,4,8,4,008-SEM (1512),014-SEM (1184),002-SEM (1365),1
64,4,8,1,001-SEM (1504),001-SEM (1501),001-SEM (1404),1
