Student Number,Grade,Total Units,Avoided Time Slot,Selected Course 1,Selected Course 2,Selected Course 3,Success
1,4,8,1,008-SEM (1512),001-SEM (1382),003-SEM (1439),1
2,4,10,2,002-SEM (1506),001-SEM (1537),001-SEM (1110),1
3,4,8,2,015-SEM (1451),006-SEM (1442),010-SEM (1446),1
4,4,8,5,001-SEM (1390),014-SEM (1450),001-SEM (1485),1
5,4,8,5,026-SEM (1462),005-SEM (1059),001-SEM (1406),1
6,4,10,1,002-SEM (1093),003-SEM (1439),001-LEC (1568),1
7,4,8,1,001-LEC (1337),002-SEM (1332),NA,1
8,4,8,2,001-SEM (1051),002-SEM (1472),001-LEC (1029),1
9,4,8,5,001-SEM (1063),001-SEM (1501),001-SEM (1406),1
10,4,8,5,007-SEM (1511),001-LEC (1312),005-SEM (1059),1
11,4,10,2,002-SEM (1474),019-SEM (1189),001-SEM (1128),1
12,4,10,5,016-SEM (1186),001-LEC (1061),001-SEM (1392),1
13,4,10,1,004-LEC (1387),001-SEM (1531),001-LEC (1568),1
14,4,8,4,003-LEC (1354),020-SEM (1456),001-LEC (1303),1
15,4,10,3,001-SEM (1055),001-SEM (1113),001-LEC (1068),1
16,4,8,2,001-LEC (1029),001-LEC (1312),NA,1
17,4,10,1,001-SEM (1080),001-SEM (1088),008-SEM (1492),1
18,4,8,4,014-SEM (1184),001-SEM (1392),NA,1
19,4,8,3,002-SEM (1827),001-SEM (1934),022-SEM (1192),1
20,4,10,5,002-SEM (1827),001-SEM (1128),001-SEM (1054),1
21,4,10,1,001-SEM (1099),001-SEM (1110),001-LEC (1320),1
22,4,10,5,003-SEM (1487),008-SEM (1444),001-SEM (1116),1
23,4,8,4,015-SEM (1451),001-SEM (1359),004-LEC (1305),1
24,4,8,5,002-SEM (1472),004-LEC (1387),001-SEM (1390),1
25,4,10,5,001-SEM (1112),001-LEC (1068),001-SEM (1505),1
26,4,10,5,001-LEC (1324),001-SEM (1391),001-SEM (1482),1
27,4,8,1,001-SEM (1382),001-SEM (1079),NA,1
28,4,8,2,013-SEM (1449),001-SEM (1525),001-SEM (1125),1
29,4,10,1,002-SEM (1476),002-SEM (1557),002-SEM (1405),1
30,4,8,1,001-SEM (1098),001-SEM (1479),016-SEM (1186),1
31,4,10,3,001-LEC (1370),001-SEM (1342),001-SEM (1505),1
32,4,10,3,005-SEM (1059),001-SEM (1342),002-LEC (1352),1
33,4,8,3,012-SEM (1448),001-SEM (1076),001-SEM (1327),1
34,4,10,2,001-SEM (1934),001-SEM (1501),001-SEM (1116),1
35,4,10,1,002-SEM (1506),001-SEM (1482),001-SEM (1082),1
36,4,8,5,001-SEM (1537),013-SEM (1449),012-SEM (1448),1
37,4,8,2,002-SEM (1474),001-SEM (1106),001-SEM (1501),1
38,4,10,4,001-SEM (1556),001-SEM (1531),001-LEC (1068),1
39,4,10,5,005-SEM (1509),001-SEM (1082),001-SEM (1525),1
40,4,8,3,004-LEC (1387),001-SEM (1111),NA,1
41,4,8,2,001-SEM (1054),001-SEM (1115),NA,1
42,4,8,3,001-SEM (1934),004-SEM (1056),001-SEM (1076),1
43,4,10,3,001-SEM (1350),005-SEM (1441),001-SEM (1080),1
44,4,8,2,001-SEM (1343),001-SEM (1504),001-SEM (1106),1
45,4,10,2,001-SEM (1063),001-SEM (1404),004-SEM (1508),1
46,4,10,4,001-SEM (1392),001-LEC (1568),002-SEM (1318),1
47,4,10,2,001-SEM (1501),002-SEM (1526),001-SEM (1345),1
48,4,10,2,004-LEC (1305),002-SEM (1506),001-LEC (1398),1
49,4,8,5,002-SEM (1074),001-SEM (1934),002-SEM (1557),1
50,4,10,5,001-LEC (1348),001-LEC (1403),001-SEM (1083),1
51,4,10,5,002-SEM (1087),003-LEC (1385),001-LEC (1324),1
52,4,10,3,007-SEM (1511),001-LEC (1126),006-SEM (1198),1
53,4,8,2,022-SEM (1192),024-SEM (1194),NA,1
54,4,10,1,001-SEM (1108),003-LEC (1354),001-LEC (1066),1
55,4,8,1,001-SEM (1080),010-SEM (1446),001-SEM (1531),1
56,4,8,2,003-SEM (1507),001-SEM (1342),001-SEM (1934),1
57,4,10,5,001-SEM (1055),008-SEM (1492),002-SEM (1086),1
58,4,8,4,002-SEM (1093),021-SEM (1457),001-SEM (1055),1
59,4,10,5,014-SEM (1450),001-SEM (1392),001-SEM (1080),1
60,4,10,5,020-SEM (1190),003-SEM (1487),001-SEM (1480),1
61,4,10,5,001-SEM (1390),002-SEM (1526),007-SEM (1491),1
62,4,8,1,001-SEM (1407),001-SEM (1482),001-SEM (1121),1
63,4,10,3,016-SEM (1186),001-SEM (1392),001-SEM (1524),1
64,4,8,3,002-SEM (1123),001-LEC (1320),NA,1
65,4,10,2,007-SEM (1491),001-LEC (1126),007-SEM (1443),1
66,4,10,1,002-SEM (1073),001-LEC (1324),001-SEM (1121),1
67,4,10,5,001-SEM (1413),008-SEM (1512),001-SEM (1078),1
68,4,8,5,001-SEM (1381),002-SEM (1129),NA,1
69,4,8,3,001-SEM (1052),001-SEM (1114),NA,1
70,4,8,2,001-SEM (1934),002-SEM (1311),003-LEC (1354),1
71,4,10,2,001-SEM (1106),001-SEM (1482),001-SEM (1341),1
72,4,8,5,014-SEM (1184),001-LEC (1303),NA,1
73,4,10,4,001-SEM (1096),001-SEM (1067),001-LEC (1349),1
74,4,8,1,004-SEM (1440),021-SEM (1457),001-SEM (1110),1
75,4,10,3,001-SEM (1113),001-SEM (1401),001-LEC (1348),1
76,4,8,1,001-SEM (1091),002-SEM (1414),008-SEM (1492),1
77,4,8,5,001-SEM (1065),001-SEM (1125),NA,1
78,4,8,1,001-SEM (1091),003-SEM (1299),NA,1
79,4,10,1,001-SEM (1401),008-SEM (1202),001-SEM (1505),1
80,4,8,2,002-SEM (1405),001-SEM (1407),NA,1
81,4,10,5,001-SEM (1413),010-SEM (1446),002-SEM (1470),1
82,4,8,3,005-SEM (1199),001-SEM (1410),NA,1
83,4,10,2,001-SEM (1051),004-SEM (1488),025-SEM (1461),1
84,4,8,3,001-SEM (1118),002-SEM (1092),NA,1
85,4,10,3,001-SEM (1116),025-SEM (1461),001-SEM (1052),1
86,4,10,5,002-SEM (1093),006-SEM (1490),005-SEM (1059),1
87,4,10,1,008-SEM (1492),005-SEM (1489),001-SEM (1088),1
88,4,8,2,011-SEM (1447),022-SEM (1192),001-SEM (1334),1
89,4,8,3,002-SEM (1827),001-SEM (1075),001-SEM (1326),1
90,4,8,5,001-SEM (1413),001-SEM (1124),001-SEM (1065),1
91,4,8,5,006-LEC (1396),001-SEM (1541),NA,1
92,4,8,1,001-SEM (1078),014-SEM (1450),001-LEC (1029),1
93,4,8,1,001-SEM (1390),004-SEM (1936),002-SEM (1476),1
94,4,8,1,023-SEM (1459),002-SEM (1474),003-SEM (1377),1
95,4,8,3,001-SEM (1054),002-SEM (1414),001-SEM (1111),1
96,4,8,5,001-SEM (1052),001-SEM (1128),NA,1
97,4,8,3,001-SEM (1065),001-SEM (1537),NA,1
