Student Number,Grade,Total Units,Avoided Time Slot,Selected Course 1,Selected Course 2,Selected Course 3,Success
1,4,10,1,017-SEM (1453),001-SEM (1505),002-SEM (1123),0
2,4,10,2,007-SEM (1511),001-LEC (1568),001-SEM (1480),0
3,4,10,5,001-SEM (1055),006-SEM (1198),002-SEM (1405),0
4,4,10,5,001-SEM (1381),019-SEM (1189),011-SEM (1447),0
5,4,10,5,025-SEM (1461),001-SEM (1358),006-SEM (1442),0
6,4,8,5,001-LEC (1302),001-LEC (1061),NA,0
7,4,10,3,003-SEM (1527),001-SEM (1504),006-SEM (1090),0
8,4,10,3,005-SEM (1441),001-SEM (1407),001-LEC (1066),0
9,4,10,3,021-SEM (1457),021-SEM (1191),002-SEM (1093),0
10,4,8,3,001-SEM (1109),005-SEM (1059),NA,0
11,4,8,4,001-LEC (1374),002-SEM (1060),NA,0
12,4,10,5,001-SEM (1080),001-SEM (1342),001-SEM (1395),0
13,4,8,3,001-SEM (1076),006-SEM (1490),012-SEM (1448),0
14,4,8,4,001-SEM (1067),007-SEM (1511),003-LEC (1354),0
15,4,8,5,001-SEM (1052),004-LEC (1387),NA,0
16,4,10,1,002-SEM (1087),002-SEM (1557),001-SEM (1108),0
17,4,8,4,001-SEM (1394),024-SEM (1460),001-SEM (1341),0
18,4,10,2,001-SEM (1480),002-SEM (1484),005-SEM (1199),0
19,4,8,2,004-LEC (1387),005-LEC (1307),NA,1
20,4,8,3,006-SEM (1510),010-SEM (1446),007-SEM (1443),0
21,4,8,4,005-LEC (1368),001-SEM (1080),NA,0
22,4,8,4,001-SEM (1334),001-SEM (1559),NA,0
23,4,10,1,025-SEM (1461),001-SEM (1334),002-SEM (1074),0
24,4,8,3,001-SEM (1401),001-LEC (1320),NA,1
25,4,10,1,001-SEM (1079),002-SEM (1073),002-SEM (1486),0
26,4,10,5,001-SEM (1390),022-SEM (1458),001-SEM (1345),0
27,4,8,2,001-SEM (1116),001-SEM (1525),001-SEM (1121),0
28,4,10,1,001-SEM (1124),001-SEM (1390),002-SEM (1825),0
29,4,10,2,001-SEM (1934),004-LEC (1305),001-LEC (1403),0
30,4,8,4,003-LEC (1385),001-LEC (1348),NA,0
31,4,8,4,001-SEM (1524),001-LEC (1373),001-SEM (1521),0
32,4,8,2,002-SEM (1405),001-SEM (1108),NA,0
33,4,10,1,001-SEM (1082),001-LEC (1337),002-SEM (1506),0
34,4,10,4,001-LEC (1373),014-SEM (1184),024-SEM (1460),0
35,4,8,5,004-SEM (1440),001-SEM (1341),015-SEM (1451),0
36,4,10,1,001-SEM (1479),004-SEM (1440),003-LEC (1385),0
37,4,10,2,001-SEM (1401),001-SEM (1537),011-SEM (1447),0
38,4,10,2,019-SEM (1189),001-SEM (1479),011-SEM (1447),0
39,4,10,4,024-SEM (1460),001-SEM (1096),003-SEM (1507),0
40,4,10,1,005-SEM (1489),003-SEM (1507),014-SEM (1450),0
41,4,10,5,001-SEM (1485),002-SEM (1095),013-SEM (1449),0
42,4,8,2,007-SEM (1491),011-SEM (1447),002-SEM (1405),0
43,4,8,5,001-SEM (1054),001-SEM (1537),NA,0
44,4,8,1,005-SEM (1489),002-SEM (1393),001-SEM (1501),0
45,4,10,2,006-SEM (1442),003-LEC (1354),022-SEM (1458),0
46,4,8,1,001-SEM (1091),001-SEM (1934),001-LEC (1398),0
47,4,8,4,006-SEM (1198),001-SEM (1376),NA,0
48,4,8,5,003-LEC (1385),001-SEM (1350),NA,0
49,4,8,4,001-SEM (1343),005-LEC (1368),NA,0
50,4,10,3,001-SEM (1404),001-SEM (1079),001-SEM (1091),0
51,4,8,4,001-SEM (1097),001-SEM (1350),NA,0
52,4,10,1,001-SEM (1124),005-SEM (1509),001-SEM (1099),0
53,4,10,4,001-SEM (1080),001-SEM (1531),023-SEM (1459),0
54,4,10,5,001-LEC (1370),001-SEM (1079),001-LEC (1389),0
55,4,8,3,002-SEM (1087),001-SEM (1485),014-SEM (1450),0
56,4,10,4,001-SEM (1080),005-SEM (1059),003-LEC (1385),0
57,4,8,2,012-SEM (1448),021-SEM (1191),001-SEM (1341),0
58,4,10,1,001-LEC (1374),007-SEM (1491),001-SEM (1521),0
59,4,10,5,001-SEM (1480),016-SEM (1186),001-SEM (1096),0
60,4,10,5,001-SEM (1559),001-SEM (1505),001-SEM (1122),0
61,4,10,2,001-SEM (1109),023-SEM (1193),001-SEM (1334),0
62,4,10,5,001-SEM (1109),003-SEM (1299),002-SEM (1087),0
63,4,8,1,002-SEM (1526),001-LEC (1126),002-SEM (1074),0
64,4,10,3,002-SEM (1526),001-SEM (1390),014-SEM (1450),0
65,4,10,3,002-SEM (1092),001-SEM (1410),004-SEM (1508),0
66,4,8,4,016-SEM (1186),002-LEC (1352),NA,0
67,4,8,4,001-SEM (1098),001-SEM (1079),NA,0
68,4,8,1,002-SEM (1405),006-SEM (1198),NA,0
69,4,8,2,001-LEC (1403),001-SEM (1343),NA,0
70,4,8,3,023-SEM (1193),001-SEM (1521),001-SEM (1413),0
71,4,8,3,001-SEM (1358),021-SEM (1191),NA,0
72,4,8,1,001-SEM (1392),001-SEM (1413),001-SEM (1121),0
73,4,10,1,002-SEM (1405),001-SEM (1098),001-SEM (1934),0
74,4,10,1,002-SEM (1073),001-SEM (1109),001-SEM (1381),0
75,4,8,2,001-LEC (1126),001-SEM (1121),NA,0
76,4,10,4,001-LEC (1302),007-SEM (1491),001-SEM (1346),0
77,4,8,4,001-SEM (1384),001-SEM (1084),NA,0
78,4,8,4,001-SEM (1384),005-SEM (1441),001-SEM (1346),0
79,4,10,4,013-SEM (1449),001-SEM (1346),007-SEM (1511),0
80,4,10,4,001-SEM (1341),001-SEM (1083),001-SEM (1485),0
81,4,10,4,016-SEM (1452),002-SEM (1073),002-SEM (1060),0
82,4,10,4,001-SEM (1501),002-SEM (1093),001-LEC (1389),0
83,4,10,2,001-SEM (1067),002-SEM (1476),002-SEM (1365),0
84,4,8,4,001-SEM (1501),001-SEM (1390),001-SEM (1327),0
85,4,10,3,001-SEM (1345),003-SEM (1487),001-SEM (1934),0
86,4,10,3,005-SEM (1489),001-SEM (1404),001-SEM (1559),0
87,4,8,4,002-SEM (1332),001-SEM (1394),NA,0
88,4,10,1,003-SEM (1299),001-SEM (1097),001-LEC (1126),0
89,4,8,2,001-SEM (1345),002-SEM (1470),024-SEM (1194),0
90,4,10,5,001-SEM (1055),004-LEC (1305),025-SEM (1461),0
91,4,10,4,001-SEM (1101),001-SEM (1084),001-LEC (1389),0
92,4,8,5,001-SEM (1537),002-SEM (1557),003-SEM (1507),0
93,4,10,4,004-SEM (1936),020-SEM (1456),009-SEM (1445),0
94,4,8,4,001-SEM (1327),002-SEM (1073),NA,0
95,4,8,5,003-SEM (1507),006-SEM (1090),002-SEM (1486),0
96,4,10,1,001-SEM (1395),001-SEM (1113),006-SEM (1442),0
97,4,8,5,002-SEM (1472),001-SEM (1341),004-SEM (1440),0
98,4,8,2,001-SEM (1104),022-SEM (1192),NA,0
99,4,8,3,001-SEM (1485),001-SEM (1390),005-SEM (1489),0
100,4,8,1,001-SEM (1524),006-SEM (1442),001-SEM (1504),0
101,4,8,2,001-SEM (1541),001-SEM (1063),NA,0
102,4,10,4,001-SEM (1346),021-SEM (1457),001-SEM (1085),0
103,4,10,5,020-SEM (1190),001-SEM (1343),002-SEM (1476),0
104,4,8,5,002-LEC (1352),005-SEM (1441),001-SEM (1067),0
105,4,8,1,001-LEC (1303),002-SEM (1486),013-SEM (1449),0
106,4,8,4,001-LEC (1061),001-SEM (1334),NA,0
107,4,10,3,008-SEM (1492),004-LEC (1387),024-SEM (1194),0
108,4,10,4,001-SEM (1359),002-SEM (1506),002-SEM (1092),0
109,4,8,4,002-SEM (1095),001-SEM (1065),NA,0
110,4,10,5,001-SEM (1345),001-SEM (1083),002-SEM (1470),0
111,4,10,4,003-SEM (1507),001-LEC (1324),001-SEM (1381),0
112,4,10,2,004-SEM (1056),001-SEM (1343),001-SEM (1124),0
113,4,8,2,001-SEM (1113),001-LEC (1064),NA,0
114,4,8,3,022-SEM (1192),021-SEM (1457),001-LEC (1403),0
115,4,10,3,001-SEM (1097),002-SEM (1129),001-SEM (1410),0
116,4,10,5,016-SEM (1452),004-LEC (1387),017-SEM (1453),0
117,4,8,5,002-SEM (1486),001-SEM (1096),001-SEM (1111),0
118,4,10,3,001-SEM (1091),001-LEC (1126),005-SEM (1509),0
119,4,8,4,001-SEM (1078),001-SEM (1505),014-SEM (1184),0
120,4,8,5,001-SEM (1342),024-SEM (1194),NA,0
121,4,8,2,001-SEM (1346),001-SEM (1054),NA,0
122,4,8,4,001-SEM (1080),001-SEM (1392),NA,0
123,4,8,3,001-SEM (1091),026-SEM (1462),001-SEM (1934),0
124,4,8,1,023-SEM (1193),001-SEM (1358),NA,0
125,4,8,4,002-SEM (1311),006-LEC (1396),NA,1
126,4,8,5,001-SEM (1055),001-SEM (1122),NA,0
127,4,10,2,001-SEM (1934),001-SEM (1485),003-SEM (1507),0
128,4,10,1,005-SEM (1441),001-LEC (1324),022-SEM (1192),0
129,4,10,1,002-SEM (1060),002-SEM (1486),001-SEM (1099),0
130,4,10,1,001-SEM (1105),002-SEM (1332),001-SEM (1084),0
131,4,10,3,006-SEM (1490),001-SEM (1125),005-SEM (1441),0
132,4,10,4,001-SEM (1065),003-SEM (1507),004-SEM (1440),0
133,4,8,5,001-SEM (1075),001-SEM (1541),NA,0
134,4,8,4,008-SEM (1444),001-SEM (1413),001-LEC (1568),0
135,4,8,2,001-SEM (1109),001-SEM (1053),NA,0
136,4,10,5,002-LEC (1352),001-SEM (1346),006-SEM (1442),0
137,4,8,4,014-SEM (1184),001-SEM (1531),016-SEM (1186),0
138,4,8,2,001-SEM (1048),001-SEM (1334),NA,0
139,4,8,4,002-SEM (1332),004-SEM (1488),019-SEM (1455),0
140,4,10,1,001-SEM (1381),001-SEM (1358),001-SEM (1384),0
141,4,10,4,001-LEC (1349),001-SEM (1358),023-SEM (1459),0
142,4,10,3,003-LEC (1328),001-SEM (1505),001-SEM (1409),0
143,4,8,1,001-SEM (1080),001-SEM (1480),002-SEM (1825),0
144,4,10,5,005-SEM (1199),001-LEC (1029),017-SEM (1453),0
145,4,10,1,003-SEM (1507),001-SEM (1104),001-SEM (1081),0
146,4,8,1,001-SEM (1407),006-SEM (1490),002-SEM (1086),0
147,4,10,1,011-SEM (1447),001-SEM (1541),001-SEM (1934),0
148,4,8,3,024-SEM (1460),001-SEM (1048),001-SEM (1083),0
149,4,10,5,015-SEM (1185),001-SEM (1105),002-SEM (1311),0
150,4,8,3,001-LEC (1126),001-SEM (1119),NA,0
151,4,10,3,001-LEC (1066),001-SEM (1407),001-LEC (1324),0
152,4,10,1,001-SEM (1535),006-SEM (1510),026-SEM (1462),0
153,4,10,1,001-SEM (1524),001-SEM (1118),002-SEM (1087),0
154,4,8,3,014-SEM (1450),001-SEM (1116),016-SEM (1452),0
155,4,8,5,001-SEM (1109),004-LEC (1305),NA,0
156,4,10,4,007-SEM (1491),001-SEM (1531),009-SEM (1445),0
157,4,10,3,021-SEM (1457),019-SEM (1455),001-SEM (1105),0
158,4,8,4,001-LEC (1320),001-LEC (1349),NA,1
159,4,10,4,001-LEC (1370),001-SEM (1394),003-SEM (1507),0
160,4,8,4,015-SEM (1185),001-LEC (1568),NA,0
161,4,8,4,001-SEM (1394),004-SEM (1056),NA,0
162,4,8,5,001-SEM (1359),001-SEM (1521),001-SEM (1096),0
163,4,10,5,001-SEM (1055),002-SEM (1470),001-SEM (1524),0
164,4,10,4,003-SEM (1439),013-SEM (1449),024-SEM (1460),0
165,4,8,3,002-SEM (1474),001-SEM (1327),001-SEM (1080),0
166,4,10,2,001-SEM (1108),001-SEM (1401),001-SEM (1504),0
167,4,8,5,006-SEM (1198),001-SEM (1105),NA,0
168,4,10,2,003-SEM (1527),005-SEM (1199),001-SEM (1525),0
169,4,8,4,001-SEM (1334),001-SEM (1091),NA,0
170,4,10,3,001-SEM (1326),001-SEM (1079),002-SEM (1405),0
171,4,8,4,001-SEM (1525),001-SEM (1099),003-SEM (1299),0
172,4,8,2,008-SEM (1202),001-SEM (1343),NA,0
173,4,8,5,001-SEM (1098),002-SEM (1086),NA,0
174,4,10,1,020-SEM (1456),001-SEM (1395),001-LEC (1303),0
175,4,10,4,001-SEM (1083),001-SEM (1391),001-SEM (1055),0
176,4,8,1,021-SEM (1191),001-LEC (1337),NA,0
177,4,8,5,001-LEC (1370),018-SEM (1454),022-SEM (1192),0
178,4,10,3,023-SEM (1193),002-SEM (1123),001-SEM (1409),0
179,4,10,2,006-SEM (1442),001-SEM (1128),011-SEM (1447),0
180,4,8,1,002-LEC (1352),001-SEM (1413),008-SEM (1202),0
181,4,8,5,001-SEM (1537),003-LEC (1354),NA,0
182,4,10,5,005-SEM (1199),014-SEM (1184),024-SEM (1460),0
183,4,10,3,001-LEC (1370),024-SEM (1194),001-SEM (1106),0
184,4,10,1,004-SEM (1440),016-SEM (1186),001-SEM (1358),0
185,4,8,4,016-SEM (1452),001-SEM (1085),004-LEC (1305),0
186,4,10,1,001-SEM (1088),018-SEM (1188),003-SEM (1527),0
187,4,10,4,001-SEM (1556),006-SEM (1510),006-LEC (1396),0
188,4,10,3,001-SEM (1559),001-SEM (1505),008-SEM (1444),0
189,4,8,1,001-SEM (1367),001-SEM (1382),NA,0
190,4,8,5,001-SEM (1065),004-SEM (1056),NA,0
191,4,8,2,001-SEM (1479),002-SEM (1474),022-SEM (1192),0
192,4,10,5,001-SEM (1098),023-SEM (1193),001-SEM (1055),0
193,4,10,1,001-SEM (1114),001-SEM (1535),001-SEM (1382),0
194,4,10,1,001-SEM (1091),001-SEM (1104),014-SEM (1450),0
195,4,10,3,001-SEM (1113),005-SEM (1489),001-SEM (1083),0
196,4,8,5,010-SEM (1446),001-SEM (1485),001-SEM (1391),0
197,4,10,4,001-SEM (1075),001-SEM (1051),018-SEM (1188),0
198,4,8,5,001-SEM (1350),005-SEM (1199),NA,0
199,4,10,4,001-SEM (1080),001-LEC (1312),008-SEM (1444),0
200,4,10,1,001-SEM (1048),004-LEC (1387),003-LEC (1385),0
201,4,8,3,001-SEM (1361),001-SEM (1404),NA,1
202,4,10,5,001-SEM (1079),001-SEM (1122),019-SEM (1455),0
203,4,10,4,013-SEM (1449),001-SEM (1531),002-SEM (1311),0
204,4,8,3,001-SEM (1110),005-SEM (1199),NA,0
205,4,10,1,002-SEM (1123),020-SEM (1456),003-LEC (1354),0
206,4,8,1,003-SEM (1439),001-LEC (1398),001-SEM (1088),0
207,4,10,5,001-LEC (1064),003-SEM (1487),017-SEM (1453),0
208,4,10,5,005-SEM (1489),004-SEM (1440),001-SEM (1535),0
