Student Number,Grade,Total Units,Avoided Time Slot,Selected Course 1,Selected Course 2,Selected Course 3,Success
1,4,10,4,001-SEM (1341),024-SEM (1460),001-SEM (1485),0
2,4,10,4,007-SEM (1491),001-SEM (1097),002-SEM (1073),0
3,4,8,5,001-SEM (1482),006-SEM (1510),008-SEM (1444),0
4,4,8,3,001-LEC (1312),001-SEM (1361),NA,1
5,4,10,1,002-SEM (1087),008-SEM (1492),001-SEM (1395),0
6,4,8,4,021-SEM (1457),001-SEM (1384),002-SEM (1365),0
7,4,10,1,001-SEM (1106),001-SEM (1524),023-SEM (1459),0
8,4,10,2,008-SEM (1444),001-SEM (1480),001-SEM (1115),0
9,4,8,2,001-LEC (1061),001-SEM (1407),NA,0
10,4,8,4,001-SEM (1381),005-LEC (1368),NA,1
11,4,10,3,001-LEC (1348),001-SEM (1111),018-SEM (1188),0
12,4,8,5,001-SEM (1367),002-SEM (1129),NA,1
13,4,8,3,001-SEM (1085),001-SEM (1394),NA,1
14,4,10,4,001-SEM (1559),003-SEM (1487),001-SEM (1505),0
15,4,8,3,001-SEM (1343),013-SEM (1183),NA,0
16,4,8,2,014-SEM (1184),001-SEM (1346),NA,0
17,4,10,2,001-SEM (1115),005-SEM (1199),001-SEM (1367),0
18,4,10,3,001-SEM (1376),002-SEM (1825),001-SEM (1404),0
19,4,8,3,001-SEM (1104),001-SEM (1342),NA,0
20,4,10,2,007-SEM (1443),014-SEM (1450),001-SEM (1479),0
21,4,10,1,002-SEM (1123),001-SEM (1076),005-SEM (1441),0
22,4,10,4,001-SEM (1525),008-SEM (1444),001-SEM (1097),0
23,4,10,1,003-SEM (1487),001-SEM (1934),014-SEM (1450),0
24,4,10,2,014-SEM (1184),001-SEM (1113),004-SEM (1488),0
25,4,10,5,004-SEM (1936),001-LEC (1029),015-SEM (1185),0
26,4,8,2,001-SEM (1115),001-SEM (1053),NA,0
27,4,8,4,001-SEM (1052),001-SEM (1326),NA,0
28,4,8,3,002-SEM (1086),012-SEM (1448),001-SEM (1345),0
29,4,8,5,001-SEM (1075),001-SEM (1080),NA,0
30,4,10,2,004-SEM (1056),001-SEM (1480),007-SEM (1511),0
31,4,8,2,001-SEM (1055),001-LEC (1064),NA,0
32,4,10,5,020-SEM (1456),016-SEM (1452),006-SEM (1490),0
33,4,10,4,001-SEM (1078),001-LEC (1373),001-LEC (1568),0
34,4,8,1,002-SEM (1073),001-SEM (1097),NA,0
35,4,8,1,001-SEM (1381),002-SEM (1074),NA,0
36,4,8,3,001-SEM (1359),001-SEM (1407),NA,0
37,4,10,2,001-SEM (1048),006-SEM (1442),001-SEM (1114),0
38,4,8,3,001-LEC (1337),015-SEM (1185),NA,0
39,4,10,1,001-SEM (1406),008-SEM (1202),001-SEM (1081),0
40,4,8,4,001-LEC (1061),009-SEM (1445),015-SEM (1451),0
41,4,10,2,019-SEM (1189),001-LEC (1403),005-LEC (1307),0
42,4,10,2,001-SEM (1109),001-SEM (1345),005-SEM (1199),0
43,4,10,1,007-SEM (1201),001-SEM (1382),005-SEM (1489),0
44,4,8,1,022-SEM (1458),001-SEM (1391),001-SEM (1054),0
45,4,10,4,001-SEM (1559),002-SEM (1470),001-SEM (1341),0
46,4,10,1,001-SEM (1524),001-LEC (1349),001-SEM (1121),0
47,4,8,1,001-SEM (1078),006-SEM (1510),002-SEM (1825),0
